X	Y	ID
283	1144	Gene5
701	932	Gene5
728	921	Gene5
50	1380	Gene5
965	2206	Gene5
933	1399	Gene5
1712	1592	Gene5
66	1390	Gene5
1955	158	Gene5
1993	134	Gene5
311	1164	Gene5
114	1435	Gene5
117	1390	Gene5
268	1125	Gene5
570	952	Gene5
2085	218	Gene5
632	942	Gene5
756	910	Gene5
2052	178	Gene5
2078	264	Gene5
2043	189	Gene5
2103	240	Gene5
948	1429	Gene5
1918	143	Gene5
193	1439	Gene5
68	1385	Gene5
932	1399	Gene5
88	1434	Gene5
1708	1588	Gene5
629	917	Gene5
119	1476	Gene5
1923	146	Gene5
1002	1396	Gene5
660	976	Gene5
1872	186	Gene5
705	930	Gene5
1013	1410	Gene5
571	2478	Gene5
1016	1362	Gene5
320	1106	Gene5
573	2513	Gene5
991	1455	Gene5
1072	1395	Gene5
61	1350	Gene5
313	1129	Gene5
653	2462	Gene5
1984	258	Gene5
1907	215	Gene5
2060	299	Gene5
986	1396	Gene5
266	1169	Gene5
1075	1406	Gene5
1045	1383	Gene5
746	905	Gene5
620	2426	Gene5
265	1117	Gene5
924	1461	Gene5
126	1450	Gene5
585	2526	Gene5
687	956	Gene5
627	858	Gene5
648	2454	Gene5
924	1354	Gene5
921	1379	Gene5
696	943	Gene5
1867	175	Gene5
1896	166	Gene5
1052	1381	Gene5
1732	1626	Gene5
674	2439	Gene5
103	1465	Gene5
705	959	Gene5
90	1464	Gene5
1980	244	Gene5
1990	233	Gene5
1966	227	Gene5
97	1463	Gene5
670	862	Gene5
979	1356	Gene5
889	1407	Gene5
533	937	Gene5
349	1224	Gene5
1878	164	Gene5
573	968	Gene5
2009	138	Gene5
1917	192	Gene5
1984	265	Gene5
1991	268	Gene5
941	2228	Gene5
125	1437	Gene5
863	2236	Gene5
597	2451	Gene5
721	899	Gene5
603	2455	Gene5
1078	1407	Gene5
1058	1391	Gene5
733	885	Gene5
1858	171	Gene5
912	2163	Gene5
569	2463	Gene5
1043	1367	Gene5
176	1462	Gene5
560	896	Gene5
1000	1455	Gene5
1023	1345	Gene5
82	1334	Gene5
537	883	Gene5
562	904	Gene5
39	1431	Gene5
662	857	Gene5
979	1331	Gene5
1877	169	Gene5
859	2239	Gene5
545	901	Gene5
959	1502	Gene5
945	1491	Gene5
1892	167	Gene5
360	1226	Gene5
523	877	Gene5
625	991	Gene5
916	2188	Gene5
955	1393	Gene5
140	1341	Gene5
704	876	Gene5
951	1347	Gene5
63	1339	Gene5
1066	1389	Gene5
972	1493	Gene5
1931	190	Gene5
1885	172	Gene5
1944	202	Gene5
550	890	Gene5
401	1133	Gene5
80	1484	Gene5
2043	246	Gene5
559	2491	Gene5
1047	1376	Gene5
620	2425	Gene5
662	2433	Gene5
33	1414	Gene5
572	892	Gene5
421	1185	Gene5
617	2520	Gene5
715	973	Gene5
679	987	Gene5
1997	228	Gene5
645	2441	Gene5
860	2251	Gene5
726	943	Gene5
332	1171	Gene5
613	2455	Gene5
645	925	Gene5
900	2195	Gene5
1007	1356	Gene5
575	2449	Gene5
661	860	Gene5
1953	120	Gene5
410	1203	Gene5
850	2242	Gene5
281	1188	Gene5
527	922	Gene5
1055	1410	Gene5
911	1471	Gene5
2053	182	Gene5
722	936	Gene5
397	1161	Gene5
620	869	Gene5
54	1386	Gene5
93	1444	Gene5
549	909	Gene5
